index,HomePlanet_entire,HomePlanet_died,HomePlanet_rate,index.1,CryoSleep_entire,CryoSleep_died,CryoSleep_rate,index.2,Cabin_entire,Cabin_died,Cabin_rate,index.3,Cabin_num_entire,Cabin_num_died,Cabin_num_rate,index.4,Cabin_port_entire,Cabin_port_died,Cabin_port_rate,index.5,Destination_entire,Destination_died,Destination_rate,index.6,Age_entire,Age_died,Age_rate,index.7,VIP_entire,VIP_died,VIP_rate,index.8,RoomService_entire,RoomService_died,RoomService_rate,index.9,FoodCourt_entire,FoodCourt_died,FoodCourt_rate,index.10,ShoppingMall_entire,ShoppingMall_died,ShoppingMall_rate,index.11,Spa_entire,Spa_died,Spa_rate,index,VRDeck_entire,VRDeck_died,VRDeck_rate
,,,,,,,,,,,,107,14,5,35.71,,,,,,,,,,,,,,,,,111.0,1.0,1.0,100.0,115.0,2.0,1.0,50.0,111.0,3.0,1.0,33.33,113.0,2.0,2.0,100.0,113,4,2,50.0
,,,,,,,,,,,,108,6,4,66.67,,,,,,,,,,,,,,,,,112.0,8.0,7.0,87.5,116.0,4.0,2.0,50.0,112.0,1.0,1.0,100.0,115.0,5.0,2.0,40.0,115,3,3,100.0
,,,,,,,,,,,,109,19,7,36.84,,,,,,,,,,,,,,,,,113.0,3.0,3.0,100.0,117.0,2.0,1.0,50.0,113.0,2.0,1.0,50.0,117.0,7.0,4.0,57.14,116,2,2,100.0
,,,,,,,,,,,,110,11,4,36.36,,,,,,,,,,,,,,,,,114.0,4.0,3.0,75.0,118.0,2.0,2.0,100.0,114.0,3.0,3.0,100.0,118.0,6.0,3.0,50.0,117,3,2,66.67
,,,,,,,,,,,,111,9,4,44.44,,,,,,,,,,,,,,,,,115.0,2.0,1.0,50.0,120.0,2.0,1.0,50.0,115.0,5.0,3.0,60.0,119.0,2.0,2.0,100.0,119,7,5,71.43
,,,,,,,,,,,,112,9,7,77.78,,,,,,,,,,,,,,,,,116.0,3.0,1.0,33.33,121.0,2.0,2.0,100.0,116.0,5.0,4.0,80.0,121.0,4.0,3.0,75.0,120,4,4,100.0
,,,,,,,,,,,,113,10,3,30.0,,,,,,,,,,,,,,,,,118.0,5.0,3.0,60.0,122.0,5.0,5.0,100.0,117.0,4.0,2.0,50.0,122.0,2.0,1.0,50.0,121,2,1,50.0
,,,,,,,,,,,,114,8,7,87.5,,,,,,,,,,,,,,,,,120.0,5.0,4.0,80.0,123.0,3.0,2.0,66.67,118.0,2.0,2.0,100.0,123.0,4.0,3.0,75.0,122,5,2,40.0
,,,,,,,,,,,,115,14,8,57.14,,,,,,,,,,,,,,,,,121.0,5.0,5.0,100.0,124.0,4.0,3.0,75.0,119.0,2.0,1.0,50.0,124.0,5.0,3.0,60.0,123,1,1,100.0
,,,,,,,,,,,,116,12,5,41.67,,,,,,,,,,,,,,,,,122.0,4.0,3.0,75.0,125.0,3.0,2.0,66.67,120.0,2.0,1.0,50.0,125.0,4.0,4.0,100.0,124,7,5,71.43
,,,,,,,,,,,,117,14,7,50.0,,,,,,,,,,,,,,,,,123.0,3.0,1.0,33.33,126.0,3.0,2.0,66.67,121.0,2.0,1.0,50.0,126.0,2.0,1.0,50.0,125,3,2,66.67
,,,,,,,,,,,,118,18,8,44.44,,,,,,,,,,,,,,,,,124.0,2.0,2.0,100.0,127.0,1.0,1.0,100.0,122.0,2.0,1.0,50.0,128.0,5.0,1.0,20.0,126,3,2,66.67
,,,,,,,,,,,,119,11,5,45.45,,,,,,,,,,,,,,,,,125.0,4.0,1.0,25.0,128.0,2.0,2.0,100.0,123.0,2.0,2.0,100.0,129.0,2.0,2.0,100.0,127,2,2,100.0
,,,,,,,,,,,,120,15,5,33.33,,,,,,,,,,,,,,,,,126.0,4.0,3.0,75.0,129.0,2.0,2.0,100.0,124.0,2.0,1.0,50.0,130.0,3.0,2.0,66.67,128,4,3,75.0
,,,,,,,,,,,,121,15,5,33.33,,,,,,,,,,,,,,,,,127.0,4.0,3.0,75.0,130.0,2.0,2.0,100.0,125.0,2.0,2.0,100.0,131.0,6.0,3.0,50.0,130,4,3,75.0
,,,,,,,,,,,,122,12,3,25.0,,,,,,,,,,,,,,,,,128.0,6.0,5.0,83.33,131.0,4.0,2.0,50.0,126.0,4.0,3.0,75.0,132.0,2.0,2.0,100.0,131,3,2,66.67
,,,,,,,,,,,,123,19,5,26.32,,,,,,,,,,,,,,,,,129.0,1.0,1.0,100.0,132.0,6.0,5.0,83.33,127.0,3.0,3.0,100.0,133.0,2.0,2.0,100.0,132,3,3,100.0
,,,,,,,,,,,,124,15,7,46.67,,,,,,,,,,,,,,,,,130.0,4.0,2.0,50.0,133.0,1.0,1.0,100.0,128.0,5.0,4.0,80.0,134.0,2.0,2.0,100.0,133,2,2,100.0
,,,,,,,,,,,,125,17,7,41.18,,,,,,,,,,,,,,,,,131.0,3.0,2.0,66.67,134.0,2.0,2.0,100.0,129.0,3.0,2.0,66.67,135.0,5.0,5.0,100.0,135,4,1,25.0
,,,,,,,,,,,,126,11,7,63.64,,,,,,,,,,,,,,,,,132.0,2.0,1.0,50.0,136.0,1.0,1.0,100.0,130.0,3.0,2.0,66.67,136.0,6.0,5.0,83.33,136,2,2,100.0
,,,,,,,,,,,,127,13,5,38.46,,,,,,,,,,,,,,,,,133.0,1.0,1.0,100.0,137.0,1.0,1.0,100.0,131.0,2.0,2.0,100.0,138.0,1.0,1.0,100.0,137,3,3,100.0
,,,,,,,,,,,,128,7,5,71.43,,,,,,,,,,,,,,,,,134.0,2.0,2.0,100.0,138.0,4.0,4.0,100.0,132.0,3.0,3.0,100.0,139.0,4.0,4.0,100.0,138,2,2,100.0
,,,,,,,,,,,,129,13,7,53.85,,,,,,,,,,,,,,,,,135.0,3.0,2.0,66.67,139.0,2.0,2.0,100.0,133.0,4.0,4.0,100.0,140.0,7.0,7.0,100.0,139,2,1,50.0
,,,,,,,,,,,,130,10,4,40.0,,,,,,,,,,,,,,,,,138.0,2.0,1.0,50.0,140.0,3.0,3.0,100.0,134.0,3.0,3.0,100.0,142.0,3.0,2.0,66.67,140,3,2,66.67
,,,,,,,,,,,,131,9,3,33.33,,,,,,,,,,,,,,,,,139.0,6.0,4.0,66.67,141.0,1.0,1.0,100.0,135.0,3.0,2.0,66.67,143.0,2.0,1.0,50.0,141,2,1,50.0
,,,,,,,,,,,,132,9,2,22.22,,,,,,,,,,,,,,,,,140.0,2.0,1.0,50.0,142.0,4.0,4.0,100.0,136.0,6.0,5.0,83.33,144.0,3.0,2.0,66.67,142,3,3,100.0
,,,,,,,,,,,,133,16,2,12.5,,,,,,,,,,,,,,,,,141.0,2.0,1.0,50.0,144.0,2.0,2.0,100.0,137.0,6.0,5.0,83.33,145.0,2.0,2.0,100.0,143,3,3,100.0
,,,,,,,,,,,,134,11,5,45.45,,,,,,,,,,,,,,,,,142.0,5.0,2.0,40.0,145.0,2.0,2.0,100.0,138.0,2.0,2.0,100.0,147.0,1.0,1.0,100.0,144,4,1,25.0
,,,,,,,,,,,,135,10,6,60.0,,,,,,,,,,,,,,,,,143.0,3.0,1.0,33.33,146.0,2.0,1.0,50.0,139.0,3.0,3.0,100.0,148.0,9.0,8.0,88.89,145,3,2,66.67
,,,,,,,,,,,,136,11,6,54.55,,,,,,,,,,,,,,,,,145.0,4.0,1.0,25.0,147.0,2.0,1.0,50.0,140.0,1.0,1.0,100.0,150.0,4.0,3.0,75.0,146,2,2,100.0
,,,,,,,,,,,,137,17,7,41.18,,,,,,,,,,,,,,,,,147.0,2.0,1.0,50.0,148.0,1.0,1.0,100.0,142.0,3.0,3.0,100.0,151.0,1.0,1.0,100.0,147,1,1,100.0
,,,,,,,,,,,,138,15,14,93.33,,,,,,,,,,,,,,,,,148.0,4.0,3.0,75.0,150.0,2.0,1.0,50.0,143.0,4.0,4.0,100.0,153.0,5.0,3.0,60.0,148,48,9,18.75
,,,,,,,,,,,,139,6,4,66.67,,,,,,,,,,,,,,,,,149.0,5.0,3.0,60.0,152.0,2.0,2.0,100.0,144.0,3.0,1.0,33.33,154.0,2.0,2.0,100.0,149,3,2,66.67
,,,,,,,,,,,,140,14,4,28.57,,,,,,,,,,,,,,,,,150.0,2.0,1.0,50.0,153.0,4.0,4.0,100.0,145.0,3.0,2.0,66.67,156.0,2.0,2.0,100.0,150,3,2,66.67
,,,,,,,,,,,,141,10,6,60.0,,,,,,,,,,,,,,,,,151.0,3.0,2.0,66.67,154.0,1.0,1.0,100.0,146.0,3.0,3.0,100.0,157.0,3.0,3.0,100.0,151,2,2,100.0
,,,,,,,,,,,,142,14,5,35.71,,,,,,,,,,,,,,,,,152.0,1.0,1.0,100.0,155.0,2.0,1.0,50.0,147.0,2.0,2.0,100.0,158.0,2.0,2.0,100.0,152,1,1,100.0
,,,,,,,,,,,,143,10,7,70.0,,,,,,,,,,,,,,,,,153.0,2.0,2.0,100.0,156.0,2.0,2.0,100.0,148.0,3.0,2.0,66.67,159.0,1.0,1.0,100.0,153,1,1,100.0
,,,,,,,,,,,,144,18,6,33.33,,,,,,,,,,,,,,,,,154.0,3.0,1.0,33.33,157.0,4.0,4.0,100.0,149.0,3.0,3.0,100.0,160.0,4.0,2.0,50.0,154,1,1,100.0
,,,,,,,,,,,,145,15,6,40.0,,,,,,,,,,,,,,,,,157.0,2.0,2.0,100.0,158.0,2.0,2.0,100.0,150.0,4.0,4.0,100.0,161.0,5.0,3.0,60.0,155,3,2,66.67
,,,,,,,,,,,,146,11,6,54.55,,,,,,,,,,,,,,,,,158.0,7.0,4.0,57.14,160.0,4.0,4.0,100.0,151.0,2.0,1.0,50.0,162.0,2.0,2.0,100.0,156,2,2,100.0
,,,,,,,,,,,,147,9,2,22.22,,,,,,,,,,,,,,,,,159.0,2.0,1.0,50.0,161.0,1.0,1.0,100.0,152.0,1.0,1.0,100.0,165.0,1.0,1.0,100.0,158,2,1,50.0
,,,,,,,,,,,,148,8,4,50.0,,,,,,,,,,,,,,,,,160.0,4.0,3.0,75.0,162.0,5.0,2.0,40.0,153.0,1.0,1.0,100.0,166.0,5.0,1.0,20.0,159,3,2,66.67
,,,,,,,,,,,,149,12,5,41.67,,,,,,,,,,,,,,,,,161.0,1.0,1.0,100.0,163.0,1.0,1.0,100.0,154.0,2.0,2.0,100.0,167.0,3.0,1.0,33.33,160,3,1,33.33
,,,,,,,,,,,,150,18,7,38.89,,,,,,,,,,,,,,,,,162.0,2.0,1.0,50.0,164.0,2.0,2.0,100.0,155.0,3.0,3.0,100.0,168.0,2.0,1.0,50.0,161,5,3,60.0
,,,,,,,,,,,,151,16,7,43.75,,,,,,,,,,,,,,,,,163.0,3.0,2.0,66.67,165.0,3.0,3.0,100.0,157.0,4.0,4.0,100.0,169.0,1.0,1.0,100.0,162,2,2,100.0
,,,,,,,,,,,,152,14,5,35.71,,,,,,,,,,,,,,,,,164.0,4.0,2.0,50.0,166.0,4.0,1.0,25.0,158.0,4.0,4.0,100.0,170.0,5.0,4.0,80.0,163,4,3,75.0
,,,,,,,,,,,,153,7,6,85.71,,,,,,,,,,,,,,,,,165.0,2.0,1.0,50.0,168.0,3.0,1.0,33.33,159.0,2.0,1.0,50.0,171.0,1.0,1.0,100.0,164,2,1,50.0
,,,,,,,,,,,,154,9,3,33.33,,,,,,,,,,,,,,,,,166.0,3.0,3.0,100.0,169.0,5.0,3.0,60.0,161.0,3.0,3.0,100.0,173.0,3.0,2.0,66.67,166,1,1,100.0
,,,,,,,,,,,,155,10,5,50.0,,,,,,,,,,,,,,,,,170.0,1.0,1.0,100.0,170.0,4.0,3.0,75.0,163.0,4.0,3.0,75.0,174.0,3.0,2.0,66.67,168,5,3,60.0
,,,,,,,,,,,,156,13,4,30.77,,,,,,,,,,,,,,,,,171.0,2.0,1.0,50.0,171.0,9.0,8.0,88.89,164.0,2.0,1.0,50.0,175.0,2.0,1.0,50.0,169,1,1,100.0
,,,,,,,,,,,,157,8,3,37.5,,,,,,,,,,,,,,,,,172.0,5.0,4.0,80.0,172.0,5.0,3.0,60.0,165.0,2.0,2.0,100.0,176.0,3.0,3.0,100.0,170,4,4,100.0
,,,,,,,,,,,,158,16,9,56.25,,,,,,,,,,,,,,,,,173.0,4.0,4.0,100.0,173.0,3.0,2.0,66.67,166.0,2.0,1.0,50.0,177.0,5.0,2.0,40.0,171,3,2,66.67
,,,,,,,,,,,,159,10,5,50.0,,,,,,,,,,,,,,,,,174.0,4.0,2.0,50.0,174.0,1.0,1.0,100.0,167.0,2.0,2.0,100.0,178.0,3.0,3.0,100.0,172,1,1,100.0
,,,,,,,,,,,,160,6,3,50.0,,,,,,,,,,,,,,,,,176.0,3.0,2.0,66.67,175.0,4.0,3.0,75.0,168.0,1.0,1.0,100.0,179.0,3.0,1.0,33.33,173,5,3,60.0
,,,,,,,,,,,,161,11,3,27.27,,,,,,,,,,,,,,,,,177.0,2.0,2.0,100.0,176.0,2.0,2.0,100.0,169.0,2.0,2.0,100.0,180.0,4.0,2.0,50.0,175,4,3,75.0
,,,,,,,,,,,,162,9,4,44.44,,,,,,,,,,,,,,,,,179.0,2.0,2.0,100.0,177.0,2.0,1.0,50.0,170.0,3.0,3.0,100.0,181.0,1.0,1.0,100.0,176,3,3,100.0
,,,,,,,,,,,,163,18,10,55.56,,,,,,,,,,,,,,,,,180.0,3.0,3.0,100.0,178.0,2.0,1.0,50.0,171.0,2.0,2.0,100.0,182.0,5.0,3.0,60.0,177,2,1,50.0
,,,,,,,,,,,,164,6,3,50.0,,,,,,,,,,,,,,,,,181.0,4.0,4.0,100.0,179.0,5.0,4.0,80.0,172.0,3.0,3.0,100.0,183.0,4.0,3.0,75.0,178,3,1,33.33
,,,,,,,,,,,,165,9,5,55.56,,,,,,,,,,,,,,,,,182.0,2.0,2.0,100.0,180.0,5.0,2.0,40.0,174.0,4.0,3.0,75.0,184.0,5.0,4.0,80.0,179,2,2,100.0
,,,,,,,,,,,,166,20,10,50.0,,,,,,,,,,,,,,,,,183.0,4.0,3.0,75.0,182.0,1.0,1.0,100.0,175.0,2.0,2.0,100.0,187.0,3.0,2.0,66.67,180,3,3,100.0
,,,,,,,,,,,,167,7,4,57.14,,,,,,,,,,,,,,,,,185.0,2.0,1.0,50.0,184.0,3.0,3.0,100.0,176.0,1.0,1.0,100.0,188.0,2.0,2.0,100.0,181,2,2,100.0
,,,,,,,,,,,,168,9,4,44.44,,,,,,,,,,,,,,,,,187.0,2.0,2.0,100.0,185.0,3.0,1.0,33.33,177.0,1.0,1.0,100.0,190.0,3.0,3.0,100.0,182,3,2,66.67
,,,,,,,,,,,,169,7,3,42.86,,,,,,,,,,,,,,,,,188.0,1.0,1.0,100.0,186.0,2.0,2.0,100.0,180.0,3.0,3.0,100.0,191.0,1.0,1.0,100.0,183,1,1,100.0
,,,,,,,,,,,,170,11,5,45.45,,,,,,,,,,,,,,,,,190.0,3.0,2.0,66.67,188.0,2.0,1.0,50.0,181.0,2.0,2.0,100.0,193.0,1.0,1.0,100.0,184,1,1,100.0
,,,,,,,,,,,,171,12,8,66.67,,,,,,,,,,,,,,,,,191.0,1.0,1.0,100.0,190.0,2.0,2.0,100.0,182.0,5.0,4.0,80.0,194.0,2.0,1.0,50.0,185,3,3,100.0
,,,,,,,,,,,,172,6,3,50.0,,,,,,,,,,,,,,,,,192.0,2.0,2.0,100.0,192.0,2.0,2.0,100.0,183.0,2.0,1.0,50.0,195.0,5.0,3.0,60.0,186,2,1,50.0
,,,,,,,,,,,,173,9,5,55.56,,,,,,,,,,,,,,,,,193.0,4.0,2.0,50.0,193.0,3.0,2.0,66.67,184.0,1.0,1.0,100.0,196.0,2.0,1.0,50.0,187,2,2,100.0
,,,,,,,,,,,,174,7,4,57.14,,,,,,,,,,,,,,,,,194.0,3.0,3.0,100.0,194.0,4.0,2.0,50.0,185.0,4.0,3.0,75.0,198.0,2.0,2.0,100.0,189,1,1,100.0
,,,,,,,,,,,,175,16,5,31.25,,,,,,,,,,,,,,,,,196.0,3.0,2.0,66.67,195.0,3.0,3.0,100.0,186.0,2.0,2.0,100.0,200.0,2.0,2.0,100.0,191,2,2,100.0
,,,,,,,,,,,,176,21,9,42.86,,,,,,,,,,,,,,,,,198.0,3.0,1.0,33.33,196.0,3.0,1.0,33.33,187.0,2.0,2.0,100.0,201.0,5.0,4.0,80.0,192,3,3,100.0
,,,,,,,,,,,,177,7,3,42.86,,,,,,,,,,,,,,,,,199.0,1.0,1.0,100.0,197.0,1.0,1.0,100.0,188.0,2.0,2.0,100.0,202.0,5.0,3.0,60.0,193,2,2,100.0
,,,,,,,,,,,,178,16,11,68.75,,,,,,,,,,,,,,,,,200.0,4.0,2.0,50.0,199.0,1.0,1.0,100.0,189.0,1.0,1.0,100.0,203.0,2.0,1.0,50.0,194,1,1,100.0
,,,,,,,,,,,,179,11,6,54.55,,,,,,,,,,,,,,,,,201.0,2.0,1.0,50.0,200.0,1.0,1.0,100.0,190.0,1.0,1.0,100.0,205.0,2.0,1.0,50.0,195,1,1,100.0
,,,,,,,,,,,,180,8,5,62.5,,,,,,,,,,,,,,,,,202.0,3.0,2.0,66.67,201.0,4.0,4.0,100.0,191.0,2.0,2.0,100.0,206.0,2.0,2.0,100.0,196,3,2,66.67
,,,,,,,,,,,,181,11,3,27.27,,,,,,,,,,,,,,,,,203.0,2.0,2.0,100.0,203.0,1.0,1.0,100.0,192.0,2.0,2.0,100.0,207.0,6.0,4.0,66.67,197,4,3,75.0
,,,,,,,,,,,,182,11,5,45.45,,,,,,,,,,,,,,,,,204.0,2.0,2.0,100.0,204.0,1.0,1.0,100.0,193.0,4.0,4.0,100.0,208.0,3.0,3.0,100.0,198,2,1,50.0
,,,,,,,,,,,,183,16,8,50.0,,,,,,,,,,,,,,,,,205.0,1.0,1.0,100.0,207.0,1.0,1.0,100.0,194.0,2.0,2.0,100.0,209.0,2.0,1.0,50.0,199,3,3,100.0
,,,,,,,,,,,,184,10,6,60.0,,,,,,,,,,,,,,,,,206.0,2.0,1.0,50.0,210.0,2.0,2.0,100.0,195.0,3.0,2.0,66.67,210.0,3.0,3.0,100.0,200,5,3,60.0
,,,,,,,,,,,,185,14,9,64.29,,,,,,,,,,,,,,,,,209.0,1.0,1.0,100.0,212.0,3.0,2.0,66.67,196.0,1.0,1.0,100.0,211.0,2.0,2.0,100.0,201,2,1,50.0
,,,,,,,,,,,,186,18,10,55.56,,,,,,,,,,,,,,,,,210.0,3.0,3.0,100.0,213.0,3.0,1.0,33.33,197.0,2.0,2.0,100.0,213.0,3.0,2.0,66.67,204,1,1,100.0
,,,,,,,,,,,,187,16,5,31.25,,,,,,,,,,,,,,,,,211.0,2.0,1.0,50.0,214.0,1.0,1.0,100.0,198.0,17.0,13.0,76.47,214.0,3.0,2.0,66.67,205,2,2,100.0
,,,,,,,,,,,,188,11,3,27.27,,,,,,,,,,,,,,,,,212.0,1.0,1.0,100.0,215.0,2.0,2.0,100.0,200.0,2.0,1.0,50.0,215.0,1.0,1.0,100.0,207,1,1,100.0
,,,,,,,,,,,,189,14,10,71.43,,,,,,,,,,,,,,,,,213.0,2.0,1.0,50.0,216.0,3.0,3.0,100.0,201.0,3.0,3.0,100.0,217.0,2.0,2.0,100.0,208,3,2,66.67
,,,,,,,,,,,,190,13,7,53.85,,,,,,,,,,,,,,,,,214.0,3.0,2.0,66.67,217.0,2.0,2.0,100.0,202.0,5.0,2.0,40.0,219.0,2.0,2.0,100.0,209,2,1,50.0
,,,,,,,,,,,,191,10,4,40.0,,,,,,,,,,,,,,,,,215.0,1.0,1.0,100.0,218.0,4.0,3.0,75.0,204.0,1.0,1.0,100.0,221.0,2.0,2.0,100.0,211,1,1,100.0
,,,,,,,,,,,,192,10,6,60.0,,,,,,,,,,,,,,,,,216.0,1.0,1.0,100.0,219.0,3.0,1.0,33.33,206.0,4.0,3.0,75.0,223.0,2.0,1.0,50.0,212,1,1,100.0
,,,,,,,,,,,,193,13,5,38.46,,,,,,,,,,,,,,,,,217.0,2.0,2.0,100.0,220.0,2.0,2.0,100.0,207.0,1.0,1.0,100.0,224.0,2.0,1.0,50.0,213,5,3,60.0
,,,,,,,,,,,,194,14,6,42.86,,,,,,,,,,,,,,,,,218.0,3.0,2.0,66.67,221.0,1.0,1.0,100.0,208.0,5.0,5.0,100.0,225.0,1.0,1.0,100.0,214,5,3,60.0
,,,,,,,,,,,,195,12,7,58.33,,,,,,,,,,,,,,,,,221.0,1.0,1.0,100.0,222.0,3.0,1.0,33.33,209.0,2.0,2.0,100.0,226.0,4.0,2.0,50.0,216,1,1,100.0
,,,,,,,,,,,,196,11,7,63.64,,,,,,,,,,,,,,,,,223.0,3.0,1.0,33.33,224.0,2.0,2.0,100.0,210.0,3.0,1.0,33.33,227.0,2.0,1.0,50.0,217,1,1,100.0
,,,,,,,,,,,,197,4,3,75.0,,,,,,,,,,,,,,,,,224.0,2.0,2.0,100.0,225.0,5.0,4.0,80.0,211.0,2.0,2.0,100.0,228.0,2.0,2.0,100.0,218,3,2,66.67
,,,,,,,,,,,,198,12,5,41.67,,,,,,,,,,,,,,,,,226.0,1.0,1.0,100.0,226.0,5.0,5.0,100.0,212.0,1.0,1.0,100.0,229.0,3.0,3.0,100.0,219,1,1,100.0
,,,,,,,,,,,,199,13,6,46.15,,,,,,,,,,,,,,,,,227.0,4.0,2.0,50.0,227.0,1.0,1.0,100.0,213.0,4.0,2.0,50.0,232.0,4.0,3.0,75.0,220,1,1,100.0
,,,,,,,,,,,,200,11,4,36.36,,,,,,,,,,,,,,,,,228.0,2.0,1.0,50.0,228.0,1.0,1.0,100.0,214.0,2.0,1.0,50.0,234.0,2.0,2.0,100.0,223,3,2,66.67
,,,,,,,,,,,,201,16,8,50.0,,,,,,,,,,,,,,,,,230.0,1.0,1.0,100.0,229.0,1.0,1.0,100.0,215.0,2.0,1.0,50.0,235.0,1.0,1.0,100.0,224,3,2,66.67
,,,,,,,,,,,,202,9,3,33.33,,,,,,,,,,,,,,,,,231.0,2.0,2.0,100.0,230.0,3.0,3.0,100.0,216.0,1.0,1.0,100.0,236.0,2.0,1.0,50.0,226,3,2,66.67
,,,,,,,,,,,,203,11,5,45.45,,,,,,,,,,,,,,,,,232.0,2.0,1.0,50.0,231.0,2.0,1.0,50.0,217.0,2.0,2.0,100.0,238.0,1.0,1.0,100.0,227,1,1,100.0
,,,,,,,,,,,,204,7,4,57.14,,,,,,,,,,,,,,,,,233.0,4.0,4.0,100.0,233.0,2.0,2.0,100.0,218.0,1.0,1.0,100.0,239.0,3.0,1.0,33.33,229,4,3,75.0
,,,,,,,,,,,,205,8,5,62.5,,,,,,,,,,,,,,,,,234.0,1.0,1.0,100.0,235.0,3.0,3.0,100.0,219.0,1.0,1.0,100.0,240.0,2.0,1.0,50.0,230,2,1,50.0
,,,,,,,,,,,,206,12,4,33.33,,,,,,,,,,,,,,,,,235.0,3.0,2.0,66.67,236.0,3.0,3.0,100.0,220.0,1.0,1.0,100.0,241.0,4.0,3.0,75.0,233,1,1,100.0
,,,,,,,,,,,,207,6,4,66.67,,,,,,,,,,,,,,,,,237.0,2.0,1.0,50.0,237.0,2.0,2.0,100.0,221.0,1.0,1.0,100.0,242.0,1.0,1.0,100.0,234,1,1,100.0
,,,,,,,,,,,,208,12,6,50.0,,,,,,,,,,,,,,,,,238.0,2.0,2.0,100.0,238.0,1.0,1.0,100.0,222.0,5.0,3.0,60.0,243.0,1.0,1.0,100.0,235,3,3,100.0
,,,,,,,,,,,,209,11,4,36.36,,,,,,,,,,,,,,,,,239.0,2.0,1.0,50.0,239.0,2.0,2.0,100.0,223.0,2.0,2.0,100.0,244.0,3.0,3.0,100.0,236,3,2,66.67
,,,,,,,,,,,,210,10,5,50.0,,,,,,,,,,,,,,,,,240.0,2.0,1.0,50.0,241.0,1.0,1.0,100.0,224.0,1.0,1.0,100.0,245.0,4.0,3.0,75.0,237,1,1,100.0
,,,,,,,,,,,,211,12,8,66.67,,,,,,,,,,,,,,,,,241.0,2.0,1.0,50.0,242.0,2.0,1.0,50.0,225.0,1.0,1.0,100.0,246.0,3.0,1.0,33.33,238,1,1,100.0
,,,,,,,,,,,,212,8,4,50.0,,,,,,,,,,,,,,,,,244.0,4.0,2.0,50.0,243.0,6.0,5.0,83.33,227.0,2.0,1.0,50.0,247.0,1.0,1.0,100.0,239,3,2,66.67
,,,,,,,,,,,,213,12,4,33.33,,,,,,,,,,,,,,,,,245.0,3.0,2.0,66.67,244.0,2.0,2.0,100.0,228.0,3.0,3.0,100.0,250.0,4.0,2.0,50.0,240,2,2,100.0
,,,,,,,,,,,,214,9,4,44.44,,,,,,,,,,,,,,,,,247.0,3.0,2.0,66.67,245.0,1.0,1.0,100.0,229.0,2.0,2.0,100.0,252.0,2.0,1.0,50.0,241,1,1,100.0
,,,,,,,,,,,,215,11,4,36.36,,,,,,,,,,,,,,,,,248.0,2.0,2.0,100.0,246.0,1.0,1.0,100.0,231.0,6.0,4.0,66.67,253.0,3.0,1.0,33.33,243,3,1,33.33
,,,,,,,,,,,,216,13,4,30.77,,,,,,,,,,,,,,,,,249.0,1.0,1.0,100.0,247.0,3.0,2.0,66.67,232.0,3.0,2.0,66.67,254.0,3.0,2.0,66.67,246,1,1,100.0
,,,,,,,,,,,,217,14,6,42.86,,,,,,,,,,,,,,,,,252.0,1.0,1.0,100.0,250.0,1.0,1.0,100.0,233.0,1.0,1.0,100.0,256.0,2.0,2.0,100.0,247,3,2,66.67
,,,,,,,,,,,,218,13,6,46.15,,,,,,,,,,,,,,,,,253.0,3.0,3.0,100.0,251.0,2.0,2.0,100.0,234.0,4.0,3.0,75.0,258.0,4.0,3.0,75.0,248,3,3,100.0
,,,,,,,,,,,,219,11,6,54.55,,,,,,,,,,,,,,,,,254.0,1.0,1.0,100.0,253.0,1.0,1.0,100.0,236.0,2.0,2.0,100.0,259.0,3.0,3.0,100.0,249,2,2,100.0
,,,,,,,,,,,,220,11,4,36.36,,,,,,,,,,,,,,,,,256.0,3.0,2.0,66.67,254.0,2.0,1.0,50.0,238.0,3.0,3.0,100.0,260.0,1.0,1.0,100.0,251,1,1,100.0
,,,,,,,,,,,,221,14,7,50.0,,,,,,,,,,,,,,,,,257.0,1.0,1.0,100.0,256.0,1.0,1.0,100.0,241.0,1.0,1.0,100.0,261.0,1.0,1.0,100.0,252,1,1,100.0
,,,,,,,,,,,,222,14,6,42.86,,,,,,,,,,,,,,,,,258.0,4.0,1.0,25.0,257.0,3.0,2.0,66.67,242.0,4.0,4.0,100.0,263.0,2.0,1.0,50.0,253,2,2,100.0
,,,,,,,,,,,,223,8,3,37.5,,,,,,,,,,,,,,,,,259.0,1.0,1.0,100.0,258.0,2.0,1.0,50.0,243.0,3.0,3.0,100.0,266.0,5.0,3.0,60.0,254,4,3,75.0
,,,,,,,,,,,,224,8,3,37.5,,,,,,,,,,,,,,,,,260.0,1.0,1.0,100.0,259.0,1.0,1.0,100.0,245.0,1.0,1.0,100.0,267.0,4.0,4.0,100.0,256,3,2,66.67
,,,,,,,,,,,,225,15,5,33.33,,,,,,,,,,,,,,,,,261.0,2.0,1.0,50.0,260.0,1.0,1.0,100.0,246.0,3.0,3.0,100.0,268.0,1.0,1.0,100.0,257,1,1,100.0
,,,,,,,,,,,,226,15,10,66.67,,,,,,,,,,,,,,,,,262.0,1.0,1.0,100.0,261.0,2.0,2.0,100.0,249.0,4.0,2.0,50.0,270.0,2.0,2.0,100.0,258,1,1,100.0
,,,,,,,,,,,,227,17,6,35.29,,,,,,,,,,,,,,,,,266.0,2.0,2.0,100.0,264.0,1.0,1.0,100.0,251.0,1.0,1.0,100.0,272.0,1.0,1.0,100.0,259,5,1,20.0
